B27,8N,B75,B26,B10,B12,B46,G12,G46,8S,H27,F26,D10,H75,GenS_NQS,GenN_NQS,GenS_Car,GenN_Car,
319,294,319,292,341,836,928,197,298,248,369,241,342,304,135,823,209,292,
382,329,396,345,309,906,927,212,411,134,138,135,311,309,143,857,96,261,
414,310,503,345,333,957,1078,146,207,152,150,134,295,156,93,934,99,249,
451,360,392,307,402,949,828,153,163,143,147,170,141,135,92,898,92,260,
466,364,364,341,386,800,985,164,148,187,122,179,144,140,107,991,92,292,
579,479,459,347,467,1019,1210,149,144,164,135,133,202,148,103,877,94,282,
473,366,475,422,419,1035,957,177,200,193,142,147,151,130,96,749,93,271,
493,377,445,458,418,932,1018,149,228,275,144,163,138,158,98,762,107,257,
434,438,473,426,413,1422,889,158,183,295,141,147,148,149,101,792,91,262,
384,498,393,416,430,1623,947,153,140,337,151,140,169,174,98,881,127,178,
383,381,281,466,374,1317,1041,219,175,133,137,131,153,161,122,703,93,217,
468,394,259,409,412,1442,1384,165,326,311,238,134,144,169,96,771,93,149,
376,435,381,439,456,1404,1275,205,285,240,252,211,162,133,110,787,93,186,
327,336,442,359,407,1574,2476,226,230,221,340,283,139,139,112,959,95,226,
314,253,407,369,407,1513,1701,234,325,136,283,265,250,187,96,1062,283,363,
209,171,361,411,448,1444,1772,304,265,152,253,296,166,171,93,973,141,367,
236,269,298,390,454,1303,1464,211,222,138,225,248,272,163,187,998,162,346,
292,276,345,450,487,1206,1486,358,296,136,239,208,278,161,197,1103,159,340,
397,449,506,362,407,1446,1439,372,349,139,225,207,161,246,209,755,118,334,
427,382,771,318,384,1299,1533,420,203,205,173,264,267,192,212,987,99,320,
310,722,868,892,376,1231,1143,164,158,275,301,181,290,185,214,1225,94,383,
449,946,904,906,404,1216,1346,155,149,155,147,150,305,239,134,1219,171,315,
527,969,987,924,414,1274,1467,194,155,135,176,187,138,317,137,809,164,362,
579,987,987,941,335,1461,1026,237,192,157,232,205,203,355,124,882,197,362,
952,915,1022,934,241,1173,1353,162,152,131,214,222,177,284,95,756,243,332,
890,nan,832,1038,335,1123,1254,151,207,145,136,184,156,216,106,696,169,319,
1056,nan,1297,903,253,1256,1089,171,148,173,185,137,150,221,107,765,113,417,
1013,nan,nan,902,319,1107,992,147,203,187,141,195,169,246,109,715,93,417,
975,nan,nan,844,436,2079,1251,158,233,180,152,141,293,307,158,760,103,388,
804,nan,nan,908,353,1036,1423,152,160,146,131,133,189,327,102,835,99,383,
839,nan,nan,nan,351,975,1011,176,153,nan,152,145,176,124,101,926,98,374,
nan,nan,nan,nan,362,1603,1161,139,nan,nan,140,nan,161,169,100,936,92,351,
nan,nan,nan,nan,377,1121,841,148,nan,nan,131,nan,145,153,100,936,92,315,
nan,nan,nan,nan,231,1469,865,165,nan,nan,156,nan,nan,162,100,1063,93,428,
nan,nan,nan,nan,367,4477,829,nan,nan,nan,126,nan,nan,133,123,915,95,384,
nan,nan,nan,nan,381,1287,1060,nan,nan,nan,nan,nan,nan,156,100,1111,93,335,
nan,nan,nan,nan,457,1209,1831,nan,nan,nan,nan,nan,nan,139,121,1089,96,371,
nan,nan,nan,nan,730,1216,3929,nan,nan,nan,nan,nan,nan,138,92,1064,92,377,
nan,nan,nan,nan,740,1272,1168,nan,nan,nan,nan,nan,nan,161,96,1853,nan,383,
nan,nan,nan,nan,782,1331,1278,nan,nan,nan,nan,nan,nan,142,103,2347,nan,375,
